id,central_abasto,estado,ciudad,coordenadas
1,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Aguascalientes,Aguascalientes,"21.91350375264395, -102.29531720470844"
2,"Baja California : Central de Abasto INDIA, Tijuana",Baja California ,Tijuana,"32.49474400026095, -116.94692024909172"
3,Baja California Sur: Unión de Comerciantes de La Paz,Baja California Sur,La Paz,"24.1271092193078, -110.3307038550387"
4,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Campeche,Campeche,"19.84188527351779, -90.53320367292051"
5,Chiapas: Central de Abasto de Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,"16.74342132425459, -93.06736080161691"
6,Chihuahua: Centra de Abasto de Chihuahua,Chihuahua,Chihuahua,"28.633792058657423, -106.02265834854359"
7,"Coahuila: Central de Abasto de La Laguna, Torreón",Coahuila,Torreón,"25.552699389534492, -103.42658152314198"
8,Colima: Centros de distribución de Colima,Colima,Colima,"19.24092986885469, -103.72211424574733"
9,DF: Central de Abasto de Iztapalapa DF,Distrito Federal,Iztapalapa,"19.37902097709366, -99.08788770341542"
10,"Durango: Central de Abasto ""Francisco Villa""",Durango,Durango,"24.038380681157346, -104.63030213584248"
11,Guanajuato: Central de Abasto de León,Guanajuato,León,"21.07160912889384, -101.68418648988614"
12,Guerrero: Central de Abastos de Acapulco,Guerrero,Acapulco,"16.907536500667252, -99.82665406302172"
13,Hidalgo: Central de Abasto de Pachuca,Hidalgo,Pachuca,"20.105167961561673, -98.75222400155201"
14,Jalisco: Mercado de Abasto de Guadalajara,Jalisco,Guadalajara,"20.656438978529835, -103.38199954873981"
15,México: Central de Abasto de Toluca,México,Toluca,"19.344192571914714, -99.59941224219426"
16,Michoacán: Mercado de Abasto de Morelia,Michoacán,Morelia,"19.716394739405875, -101.1675941644991"
17,"Morelos: Mercado ""Adolfo López Mateos"" de  Cuernavaca",Morelos,Cuernavaca,"18.92588394542484, -99.23232118993099"
18,Nayarit: Nayarabastos de Tepic,Nayarit,Tepic,"21.475106929976683, -104.8578806783165"
19,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Nuevo León,San Nicolás de los Garza,"25.712082350608664, -100.29374657628011"
20,Oaxaca: Módulo de Abasto de Oaxaca,Oaxaca,Oaxaca,"17.059371798231126, -96.73331077229595"
21,Puebla: Central de Abasto de Puebla,Puebla,Puebla,"19.086742782672502, -98.18937511373163"
22,Querétaro: Mercado de Abasto de Querétaro,Querétaro,Querétaro,"20.57002041039554, -100.37593640392917"
23,"Quintana Roo: Mercado de Chetumal, Quintana Roo",Quintana Roo,Chetumal,"18.50352489991703, -88.29692469366324"
24,San Luis Potosí: Centro de Abasto de San Luis Potosí,San Luis Potosí,San Luis Potosí,"22.141187217276954, -100.9222457191597"
25,Sinaloa: Central de Abasto de Culiacán,Sinaloa,Culiacán,"24.771112750755233, -107.36596175541744"
26,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Sonora,Hermosilla,"29.113207302301678, -110.99389547433611"
27,Tabasco: Central de Abasto de Villahermosa,Tabasco,Villahermosa,"17.991736396134936, -92.96622739364594"
28,Tamaulipas: Módulo de Abasto de Reynosa,Tamaulipas,Reynosa,"26.044514401583342, -98.31468258791637"
29,Veracruz: Central de Abasto de Jalapa,Veracruz,Xalapa,"19.515594449435063, -96.85370727436812"
30,Yucatán: Central de Abasto de Mérida,Yucatán,Mérida,"20.986088896233536, -89.66443971018552"
31,Zacatecas: Mercado de Abasto de Zacatecas,Zacatecas,Zacatecas,"22.772159247783705, -102.59568433198456"
